# Phonon dispersion from ShengBTE
# Path: G -> K -> M -> G
# Tick positions:
#       G  d = 0.000000
#       K  d = 1.710820
#       M  d = 2.566230
#       G  d = 4.047844
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        1.581864         0.308208         0.308208         0.000000        14.952389        17.316505        29.434785        36.186565        38.685040        41.178660
        1.590461         0.309883         0.309883         0.000000        15.036683        17.229916        29.508374        36.259750        38.566923        41.163894
        1.599058         0.311558         0.311558         0.000000        15.120715        17.143482        29.581574        36.331419        38.449661        41.149283
        1.607655         0.313233         0.313233         0.000000        15.203203        17.058660        29.648516        36.403139        38.335786        41.136215
        1.616252         0.314908         0.314908         0.000000        15.285104        16.974421        29.712710        36.474022        38.223770        41.123811
        1.624849         0.316583         0.316583         0.000000        15.366104        16.891120        29.773268        36.544178        38.114277        41.112263
        1.633446         0.318258         0.318258         0.000000        15.445679        16.809403        29.827377        36.614334        38.008710        41.102177
        1.642043         0.319933         0.319933         0.000000        15.525394        16.727523        29.880459        36.683332        37.904170        41.092266
        1.650641         0.321608         0.321608         0.000000        15.602401        16.648684        29.923706        36.752573        37.806273        41.084534
        1.659238         0.323283         0.323283         0.000000        15.679863        16.569425        29.965178        36.821118        37.709549        41.077065
        1.667835         0.324958         0.324958         0.000000        15.755281        16.492466        29.999721        36.888971        37.618321        41.071038
        1.676432         0.326633         0.326633         0.000000        15.830057        16.416381        30.028396        36.956831        37.531000        41.066135
        1.685029         0.328308         0.328308         0.000000        15.904614        16.340659        30.053399        37.024010        37.446502        41.061841
        1.693626         0.329983         0.329983         0.000000        15.974827        16.269737        30.068150        37.089468        37.371590        41.059632
        1.702223         0.331658         0.331658         0.000000        16.049715        16.194242        30.080658        37.158207        37.294275        41.057600
        1.710820         0.333333         0.333333         0.000000        16.059493        16.184386        30.082268        37.167451        37.284119        41.057410
        1.715119         0.334171         0.331658         0.000000        16.059384        16.184501        30.082146        37.167155        37.284361        41.057381
        1.719417         0.335008         0.329983         0.000000        16.033160        16.210876        30.079028        37.144336        37.310184        41.058184
        1.723716         0.335846         0.328308         0.000000        16.013715        16.230413        30.077146        37.128211        37.328799        41.058908
        1.728014         0.336683         0.326633         0.000000        15.976632        16.267896        30.069256        37.097257        37.365570        41.060274
        1.732313         0.337521         0.324958         0.000000        15.940825        16.304127        30.060970        37.068147        37.400850        41.061723
        1.736611         0.338359         0.323283         0.000000        15.909016        16.336426        30.051516        37.044097        37.432360        41.063524
        1.740910         0.339196         0.321608         0.000000        15.877908        16.368137        30.040052        37.022622        37.463260        41.065837
        1.745208         0.340034         0.319933         0.000000        15.849790        16.396823        30.029420        37.004677        37.490392        41.068128
        1.749507         0.340871         0.318258         0.000000        15.813660        16.433905        30.011465        36.979954        37.528204        41.071135
        1.753806         0.341709         0.316583         0.000000        15.780998        16.467466        29.994698        36.959212        37.561617        41.074087
        1.758104         0.342546         0.314908         0.000000        15.749761        16.499751        29.975477        36.941772        37.594045        41.077648
        1.762403         0.343384         0.313233         0.000000        15.720082        16.530539        29.955452        36.927342        37.624585        41.081526
        1.766701         0.344221         0.311558         0.000000        15.690747        16.561056        29.934265        36.913966        37.654847        41.085563
        1.771000         0.345059         0.309883         0.000000        15.657946        16.595326        29.907821        36.897735        37.690698        41.090104
        1.775298         0.345896         0.308208         0.000000        15.627621        16.627075        29.882506        36.884747        37.722986        41.094611
        1.779597         0.346734         0.306532         0.000000        15.597959        16.658396        29.853577        36.874723        37.755521        41.099983
        1.783895         0.347571         0.304857         0.000000        15.570088        16.687928        29.825045        36.867651        37.785377        41.105464
        1.788194         0.348409         0.303182         0.000000        15.541131        16.718725        29.793517        36.859941        37.817437        41.111256
        1.792492         0.349246         0.301507         0.000000        15.510936        16.750946        29.758795        36.851414        37.851964        41.117373
        1.796791         0.350084         0.299832         0.000000        15.482617        16.781287        29.724628        36.845848        37.883679        41.123576
        1.801090         0.350921         0.298157         0.000000        15.454891        16.811293        29.686912        36.843077        37.915751        41.130684
        1.805388         0.351759         0.296482         0.000000        15.428929        16.839508        29.650184        36.843194        37.944813        41.137791
        1.809687         0.352596         0.294807         0.000000        15.400870        16.870091        29.608894        36.840983        37.978253        41.145334
        1.813985         0.353434         0.293132         0.000000        15.373014        16.900564        29.566348        36.839551        38.011670        41.153053
        1.818284         0.354271         0.291457         0.000000        15.346538        16.929734        29.523273        36.840896        38.043256        41.161096
        1.822582         0.355109         0.289782         0.000000        15.320923        16.958239        29.477968        36.844897        38.074353        41.169820
        1.826881         0.355946         0.288107         0.000000        15.296914        16.985122        29.433572        36.851788        38.102535        41.178552
        1.831179         0.356784         0.286432         0.000000        15.269972        17.015287        29.383385        36.854402        38.137182        41.187833
        1.835478         0.357622         0.284757         0.000000        15.244326        17.044165        29.333649        36.859417        38.169553        41.197159
        1.839776         0.358459         0.283082         0.000000        15.219724        17.072154        29.282504        36.866953        38.200935        41.207029
        1.844075         0.359297         0.281407         0.000000        15.196186        17.099214        29.230289        36.877114        38.231022        41.217353
        1.848374         0.360134         0.279732         0.000000        15.173432        17.125540        29.177867        36.888901        38.259811        41.227776
        1.852672         0.360972         0.278057         0.000000        15.148417        17.154422        29.120861        36.896730        38.294008        41.238678
        1.856971         0.361809         0.276382         0.000000        15.124903        17.181795        29.064678        36.907499        38.325329        41.249591
        1.861269         0.362647         0.274707         0.000000        15.102181        17.208608        29.006420        36.920388        38.356427        41.261247
        1.865568         0.363484         0.273032         0.000000        15.080689        17.234263        28.948050        36.936045        38.385438        41.273126
        1.869866         0.364322         0.271357         0.000000        15.059000        17.260242        28.888234        36.951307        38.415353        41.285226
        1.874165         0.365159         0.269682         0.000000        15.036130        17.287602        28.825654        36.964115        38.448450        41.297674
        1.878463         0.365997         0.268007         0.000000        15.014692        17.313534        28.763808        36.979942        38.478677        41.310130
        1.882762         0.366834         0.266331         0.000000        14.993835        17.339182        28.699422        36.997319        38.509405        41.323493
        1.887060         0.367672         0.264656         0.000000        14.974357        17.363467        28.635668        37.017808        38.537258        41.336861
        1.891359         0.368509         0.262981         0.000000        14.953778        17.389034        28.569570        37.035564        38.568228        41.350568
        1.895657         0.369347         0.261306         0.000000        14.932981        17.414941        28.502191        37.052667        38.600181        41.364494
        1.899956         0.370184         0.259631         0.000000        14.913390        17.439716        28.434839        37.072462        38.629988        41.378609
        1.904255         0.371022         0.257956         0.000000        14.894541        17.463983        28.365892        37.093932        38.659515        41.393380
        1.908553         0.371859         0.256281         0.000000        14.877041        17.486925        28.297498        37.118630        38.686115        41.408140
        1.912852         0.372697         0.254606         0.000000        14.857569        17.512052        28.226195        37.137926        38.718107        41.423366
        1.917150         0.373534         0.252931         0.000000        14.838776        17.536562        28.154748        37.158709        38.748851        41.438677
        1.921449         0.374372         0.251256         0.000000        14.820985        17.560207        28.082789        37.181688        38.778166        41.454324
        1.925747         0.375209         0.249581         0.000000        14.804093        17.583126        28.009986        37.206686        38.806390        41.470382
        1.930046         0.376047         0.247906         0.000000        14.788307        17.604985        27.937454        37.234409        38.832205        41.486447
        1.934344         0.376884         0.246231         0.000000        14.770125        17.629435        27.862143        37.254986        38.864643        41.503048
        1.938643         0.377722         0.244556         0.000000        14.753271        17.652593        27.787295        37.278911        38.894100        41.519621
        1.942941         0.378560         0.242881         0.000000        14.737221        17.675134        27.711553        37.304386        38.922840        41.536635
        1.947240         0.379397         0.241206         0.000000        14.722226        17.696741        27.635528        37.332418        38.949667        41.553838
        1.951539         0.380235         0.239531         0.000000        14.707445        17.718212        27.559108        37.360607        38.976360        41.571169
        1.955837         0.381072         0.237856         0.000000        14.691149        17.741324        27.481085        37.383742        39.007493        41.588903
        1.960136         0.381910         0.236181         0.000000        14.676167        17.763170        27.403439        37.410349        39.035578        41.606589
        1.964434         0.382747         0.234506         0.000000        14.661788        17.784635        27.324648        37.437726        39.063665        41.624772
        1.968733         0.383585         0.232831         0.000000        14.648628        17.804961        27.245972        37.468372        39.088998        41.642953
        1.973031         0.384422         0.231156         0.000000        14.634789        17.826048        27.166525        37.496294        39.116584        41.661394
