# Phonon dispersion from ShengBTE
# Path: G -> X -> K -> G -> L
# Tick positions:
#       G  d = 0.000000
#       X  d = 1.149293
#       K  d = 2.057889
#       G  d = 3.276898
#       L  d = 4.272215
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        1.354754        -0.084799         0.471734         0.386935         4.670260         4.794126        11.387119        12.218030        13.696165        13.740494
        1.359320        -0.086683         0.471106         0.384422         4.683377         4.820419        11.360973        12.208370        13.695330        13.742491
        1.363886        -0.088568         0.470477         0.381910         4.699820         4.843258        11.335174        12.199014        13.694685        13.744002
        1.368452        -0.090452         0.469849         0.379397         4.719227         4.863004        11.309724        12.189960        13.694216        13.745045
        1.373018        -0.092337         0.469221         0.376884         4.741234         4.880017        11.284620        12.181207        13.693910        13.745639
        1.377584        -0.094221         0.468593         0.374372         4.762654         4.897992        11.259340        12.171885        13.693684        13.746401
        1.382149        -0.096106         0.467965         0.371859         4.777578         4.923929        11.232801        12.160280        13.693312        13.748606
        1.386715        -0.097990         0.467337         0.369347         4.794699         4.947644        11.206556        12.148999        13.692959        13.750478
        1.391281        -0.099874         0.466709         0.366834         4.814350         4.968803        11.180604        12.138042        13.692638        13.752008
        1.395847        -0.101759         0.466080         0.364322         4.836863         4.987073        11.154945        12.127407        13.692360        13.753185
        1.400413        -0.103643         0.465452         0.361809         4.862570         5.002122        11.129580        12.117095        13.692137        13.753998
        1.404978        -0.105528         0.464824         0.359296         4.885067         5.021829        11.102854        12.105787        13.691936        13.755514
        1.409544        -0.107412         0.464196         0.356784         4.907445         5.042200        11.075823        12.094268        13.691891        13.756934
        1.414110        -0.109296         0.463568         0.354271         4.931773         5.060598        11.049128        12.083040        13.692022        13.757841
        1.418676        -0.111181         0.462940         0.351759         4.944243         5.091222        11.021315        12.069158        13.692265        13.760599
